group,case,expected_flits,matched_flits,missing_flits,received_flits,pass_fail
SMOKE_16,noc16_00_to_33_3flit_smoke,3,2,1,163840,FAIL
SMOKE_16,noc16_00_to_33_3flit_smoke,3,2,1,163840,FAIL
