seed,cases,max_pkts,status,exit_code,elapsed_sec,log_file
12345,24,3,FAIL,1,93.427,"D:\Asynchronous_NoC_Fat_Tree\sim\results\simulation\raw\rand_correctness\20260415_232853\seed_12345_cases_24_maxpkts_3.log"
22345,24,3,FAIL,1,92.775,"D:\Asynchronous_NoC_Fat_Tree\sim\results\simulation\raw\rand_correctness\20260415_232853\seed_22345_cases_24_maxpkts_3.log"
32345,24,3,FAIL,1,95.601,"D:\Asynchronous_NoC_Fat_Tree\sim\results\simulation\raw\rand_correctness\20260415_232853\seed_32345_cases_24_maxpkts_3.log"
42345,24,3,FAIL,1,93.286,"D:\Asynchronous_NoC_Fat_Tree\sim\results\simulation\raw\rand_correctness\20260415_232853\seed_42345_cases_24_maxpkts_3.log"
52345,24,3,FAIL,1,95.760,"D:\Asynchronous_NoC_Fat_Tree\sim\results\simulation\raw\rand_correctness\20260415_232853\seed_52345_cases_24_maxpkts_3.log"
