design,head_hop_latency_ns,body_service_interval_ns,max_flit_rate_Mflit_s,cell_area_um2,energy_per_flit_pJ,dynamic_power_mW,leakage_power_mW,stream_delivered_flits,stream_window_ns
Async c1p4,1.101,1.0877499999999962,919.3288899103686,12601.679905,2.1753261999999984,0.8976,0.8044,20,25.561999999999983
Sync c1p4,1.000,2.0,500.0,11374.103891,15.051058349999998,6.5264999999999995,0.6405,20,42.001
