id,instance,site,edge,tdata_max_ns,tctrl_min_ns,rtm_pct,shortfall_ns,no_path,loop_cut,data_from,data_to,ctrl_from,ctrl_to,notes
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit1,rise,0.259421,0.884793,241.065,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit1,fall,0.278064,0.886197,218.703,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit2,rise,0.236686,0.884771,273.816,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit2,fall,0.203372,0.886165,335.736,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit3,rise,0.232045,0.884811,281.310,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit3,fall,0.261080,0.886213,239.441,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit0,rise,0.271565,0.884294,225.629,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit0,fall,0.244026,0.885861,263.019,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit1,rise,0.261348,0.884793,238.550,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit1,fall,0.264472,0.886197,235.082,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
