id,instance,site,edge,tdata_max_ns,tctrl_min_ns,rtm_pct,shortfall_ns,no_path,loop_cut,data_from,data_to,ctrl_from,ctrl_to,notes
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit1,rise,0.264486,0.889321,236.245,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit1,fall,0.287964,0.889072,208.744,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit2,rise,0.241750,0.889300,267.859,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit2,fall,0.210827,0.889040,321.692,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit3,rise,0.232938,0.889340,281.793,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_2/RouteComputationUnit,bit3,fall,0.270969,0.889088,228.114,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit0,rise,0.285543,0.888822,211.274,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit0,fall,0.255430,0.888736,247.937,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit1,rise,0.264310,0.889321,236.469,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit1,fall,0.278140,0.889072,219.649,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit2,rise,0.303139,0.889300,193.364,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit2,fall,0.259086,0.889040,243.145,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_3/RouteComputationUnit,bit3,rise,0.202533,0.889340,339.109,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
