port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
4,1616,1616,4650942,680051,680385,705239,705339,24.854000,25.188000
4,1088,1088,4440940,725051,725385,733789,733889,8.404000,8.738000
4,3104,3104,4c20943,1332051,1332385,1350895,1350995,18.510000,18.844000
4,2912,2912,4b60941,3451051,3451385,3457713,3457813,6.328000,6.662000
4,4400,4400,5130940,3565045,3565379,3578849,3578949,13.470000,13.804000
4,4976,4976,5370940,3628051,3628385,3639192,3639292,10.807000,11.141000
4,5312,5312,54c0941,3653051,3653385,3661671,3661771,8.286000,8.620000
5,1617,1617,4651942,687015,687341,712323,712423,24.982000,25.308000
5,1089,1089,4441940,731986,732312,740786,740886,8.474000,8.800000
5,3105,3105,4c21943,1351077,1351403,1357790,1357890,6.387000,6.713000
5,2913,2913,4b61941,3458014,3458340,3464589,3464689,6.249000,6.575000
5,4401,4401,5131940,3571980,3572306,3584696,3584796,12.390000,12.716000
5,4977,4977,5371940,3634986,3635312,3650877,3650977,15.565000,15.891000
5,5313,5313,54c1941,3660017,3660343,3668641,3668741,8.298000,8.624000
6,1120,1120,4460941,294051,294385,308465,308565,14.080000,14.414000
6,1618,1618,4652942,693999,694333,719409,719509,25.076000,25.410000
6,1090,1090,4442940,739020,739354,747852,747952,8.498000,8.832000
6,3856,3856,4f10943,1063051,1063385,1073139,1073239,9.754000,10.088000
6,3712,3712,4e80942,1113051,1113385,1121757,1121857,8.372000,8.706000
6,3106,3106,4c22943,1357983,1358317,1364758,1364858,6.441000,6.775000
6,640,640,4280942,1456051,1456385,1465491,1465591,9.106000,9.440000
6,6160,6160,5810943,1664051,1664385,1672757,1672857,8.372000,8.706000
6,160,160,40a0940,1993051,1993385,1999715,1999815,6.330000,6.664000
6,4000,4000,4fa0942,2728051,2728385,2736812,2736912,8.427000,8.761000
6,2914,2914,4b62941,3464955,3465289,3471619,3471719,6.330000,6.664000
6,4402,4402,5132940,3578974,3579308,3596360,3596460,17.052000,17.386000
6,4978,4978,5372940,3641980,3642314,3662595,3662695,20.281000,20.615000
6,5314,5314,54c2941,3667053,3667387,3675665,3675765,8.278000,8.612000
6,5152,5152,5420942,5155051,5155385,5167422,5167522,12.037000,12.371000
7,4896,4896,5320940,142051,142385,155124,155224,12.739000,13.073000
7,1121,1121,4461941,300976,301302,314287,314387,12.985000,13.311000
7,1584,1584,4630942,439299,439633,443610,443710,3.977000,4.311000
7,2016,2016,47e0941,405051,405385,472716,472816,67.331000,67.665000
7,1619,1619,4653942,708091,708417,726486,726586,18.069000,18.395000
