port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
94,233,233,40e9963,190051,190385,202564,202664,12.179000,12.513000
94,5,5,4005960,194051,194385,207051,207151,12.666000,13.000000
94,80,80,4050960,213051,213385,225149,225249,11.764000,12.098000
94,152,152,4098960,473051,473385,479677,479777,6.292000,6.626000
94,2,2,4002960,500051,500385,512372,512472,11.987000,12.321000
94,389,389,4185963,597051,597385,609364,609464,11.979000,12.313000
94,398,398,418e961,656051,656385,664865,664965,8.480000,8.814000
94,242,242,40f2960,675051,675377,681690,681790,6.313000,6.639000
94,11,11,400b963,764051,764385,772864,772964,8.479000,8.813000
94,98,98,4062961,891051,891377,903301,903401,11.924000,12.250000
94,143,143,408f961,966051,966385,978382,978482,11.997000,12.331000
94,362,362,416a960,984051,984377,996270,996370,11.893000,12.219000
95,20,20,4014961,43051,43385,59151,59251,15.766000,16.100000
95,356,356,4164962,71051,71377,83682,83782,12.305000,12.631000
95,41,41,4029960,109051,109385,115715,115815,6.330000,6.664000
95,5,5,4005960,194051,194385,206210,206310,11.825000,12.159000
95,80,80,4050960,213051,213385,225163,225263,11.778000,12.112000
95,2,2,4002960,500051,500385,512345,512444,11.960000,12.294000
95,389,389,4185963,597051,597385,609375,609475,11.990000,12.324000
95,398,398,418e961,656051,656385,664838,664938,8.453000,8.787000
95,242,242,40f2960,675051,675377,681701,681801,6.324000,6.650000
95,11,11,400b963,764051,764385,772837,772937,8.452000,8.786000
95,98,98,4062961,891051,891377,903312,903412,11.935000,12.261000
95,143,143,408f961,966051,966385,978355,978455,11.970000,12.304000
96,338,338,4152963,132051,132377,156087,156187,23.710000,24.036000
96,188,188,40bc962,136051,136385,161938,162038,25.553000,25.887000
96,22,22,4016963,226051,226385,232696,232796,6.311000,6.645000
96,323,323,4143961,191051,191385,251423,251523,60.038000,60.372000
96,142,142,408e961,517050,517385,535299,535399,17.914000,18.249000
96,148,148,4094960,534051,534385,540706,540806,6.321000,6.655000
96,62,62,403e962,606051,606385,614963,615063,8.578000,8.912000
96,317,317,413d962,698051,698377,711378,711478,13.001000,13.327000
96,392,392,4188961,995051,995377,1010517,1010617,15.140000,15.466000
96,395,395,418b963,1304051,1304385,1316395,1316495,12.010000,12.344000
96,334,334,414e962,1921051,1921385,1933409,1933509,12.024000,12.358000
97,352,352,4160960,22051,22385,30849,30949,8.464000,8.798000
97,131,131,4083961,27051,27385,58389,58489,31.004000,31.338000
97,226,226,40e2961,61051,61377,82894,82994,21.517000,21.843000
97,85,85,4055960,77051,77385,89162,89262,11.777000,12.111000
97,19,19,4013962,88051,88385,96885,96985,8.500000,8.834000
97,338,338,4152963,132051,132377,156036,156136,23.659000,23.985000
97,188,188,40bc962,136051,136385,161937,162037,25.552000,25.886000
97,337,337,4151963,200051,200385,209004,209104,8.619000,8.953000
97,22,22,4016963,226051,226385,232681,232781,6.296000,6.630000
97,323,323,4143961,191051,191385,251446,251546,60.061000,60.395000
97,83,83,4053963,434051,434377,446761,446861,12.384000,12.710000
97,142,142,408e961,517050,517385,535260,535360,17.875000,18.210000
97,148,148,4094960,534051,534385,540719,540819,6.334000,6.668000
97,62,62,403e962,606051,606385,615002,615102,8.617000,8.951000
97,259,259,4103961,634051,634377,642792,642892,8.415000,8.741000
97,56,56,4038962,693051,693385,705479,705579,12.094000,12.428000
97,317,317,413d962,698051,698377,711391,711491,13.014000,13.340000
97,304,304,4130963,703051,703377,717302,717402,13.925000,14.251000
97,335,335,414f963,938051,938385,947021,947121,8.636000,8.970000
97,392,392,4188961,995051,995377,1010504,1010604,15.127000,15.453000
97,395,395,418b963,1304051,1304385,1316408,1316508,12.023000,12.357000
97,334,334,414e962,1921051,1921385,1933396,1933496,12.011000,12.345000
98,352,352,4160960,22051,22385,30845,30945,8.460000,8.794000
98,131,131,4083961,27051,27385,59534,59634,32.149000,32.483000
98,226,226,40e2961,61051,61377,82870,82970,21.493000,21.819000
98,43,43,402b960,76051,76385,88738,88838,12.353000,12.687000
98,85,85,4055960,77051,77385,93271,93371,15.886000,16.220000
98,19,19,4013962,88051,88385,98144,98244,9.759000,10.093000
98,38,38,4026960,101051,101385,142439,142539,41.054000,41.388000
98,146,146,4092961,130051,130384,147237,147337,16.853000,17.186000
98,382,382,417e961,152051,152385,164769,164869,12.384000,12.718000
98,206,206,40ce962,161051,161385,173416,173516,12.031000,12.365000
98,127,127,407f960,162051,162385,177949,178049,15.564000,15.898000
98,337,337,4151963,200051,200385,209000,209100,8.615000,8.949000
98,22,22,4016963,226051,226385,232812,232912,6.427000,6.761000
98,145,145,4091961,273051,273385,281848,281948,8.463000,8.797000
98,197,197,40c5963,316051,316377,324934,325034,8.557000,8.883000
98,331,331,414b960,306051,306385,341574,341674,35.189000,35.523000
98,292,292,4124961,359051,359377,391470,391570,32.093000,32.419000
98,83,83,4053963,434051,434377,446762,446862,12.385000,12.711000
98,142,142,408e961,517050,517385,535276,535376,17.891000,18.226000
98,148,148,4094960,534051,534385,540719,540819,6.334000,6.668000
98,370,370,4172960,631051,631385,638057,638157,6.672000,7.006000
98,259,259,4103961,634051,634377,643863,643963,9.486000,9.812000
98,56,56,4038962,693051,693385,705441,705541,12.056000,12.390000
98,304,304,4130963,703051,703377,717259,717359,13.882000,14.208000
98,335,335,414f963,938051,938385,946987,947087,8.602000,8.936000
98,308,308,4134960,1232051,1232377,1244378,1244478,12.001000,12.327000
98,334,334,414e962,1921051,1921385,1933420,1933520,12.035000,12.369000
99,352,352,4160960,22051,22385,30845,30945,8.460000,8.794000
