experiment,load,scheme,pass,censored,paper_eligible,reason,case,trace_sha256,case_sha256
E2_F16_2TILE,5,Native,True,False,True,,MC-F16-2TILE_compact256_repair_20260918_123846_m5_native_PROP_temp256_m16_top0,a1254ac25bdbe7b6c346e18adfb3cc8f2fa8b1f36a9d4e0e4682600cd78d646a,a62d115c58c71fb5fc11af283b9108d06bd6dd2881de3b60af47c2bcd551ae5f
E2_F16_2TILE,5,Repeated,True,False,True,,MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0,d0cbb821180c78f681159f1cbf5e74bb11eac24b58cc1d4c6af0f2056b3475dc,e244024de756dc57f07f98ce94b6d091c88d6858c9578b47c4951f4fcb4a3851
E2_F16_2TILE,20,Native,True,False,True,,MC-F16-2TILE_compact256_repair_20260918_123846_m20_native_PROP_temp256_m16_top0,0d29a4e0477942454c9ca2bce0c143df16bf86fe24a1038b8180933120db31f3,9a75bf493f85104d2edf63375209b618531c498b0a5640eb444fd27d0995c1f4
E2_F16_2TILE,20,Repeated,True,False,True,,MC-F16-2TILE_compact256_repair_20260918_123846_m20_repeated_PROP_temp256_m16_top0,36dfb22a279ef827d4e79d35cc731d40cecee866efd2e5e4a1e95ae9c06a5964,e28743ec3be3fc3a2ae759827d29a77e3bf76ad5b3eb2bbb423c70d69f577f68
