record,tile,plane,local_lane,accepted_flits
lane,1,11,2,45
lane,1,11,3,260
lane,1,12,0,0
lane,1,12,1,0
lane,1,12,2,0
lane,1,12,3,0
lane,1,13,0,0
lane,1,13,1,0
lane,1,13,2,0
lane,1,13,3,5
lane,1,14,0,0
lane,1,14,1,0
lane,1,14,2,30
lane,1,14,3,100
lane,1,15,0,0
lane,1,15,1,25
lane,1,15,2,215
lane,1,15,3,420
tile_total,1,-1,-1,1360
lane,2,0,0,0
lane,2,0,1,0
lane,2,0,2,0
lane,2,0,3,0
lane,2,1,0,0
lane,2,1,1,0
lane,2,1,2,0
lane,2,1,3,0
lane,2,2,0,0
lane,2,2,1,0
lane,2,2,2,0
lane,2,2,3,0
lane,2,3,0,0
lane,2,3,1,0
lane,2,3,2,0
lane,2,3,3,20
lane,2,4,0,0
lane,2,4,1,0
lane,2,4,2,0
lane,2,4,3,0
lane,2,5,0,0
lane,2,5,1,0
lane,2,5,2,0
lane,2,5,3,0
lane,2,6,0,0
lane,2,6,1,0
lane,2,6,2,0
lane,2,6,3,20
lane,2,7,0,0
lane,2,7,1,0
lane,2,7,2,0
lane,2,7,3,170
lane,2,8,0,0
lane,2,8,1,0
lane,2,8,2,0
lane,2,8,3,0
lane,2,9,0,0
lane,2,9,1,0
lane,2,9,2,0
lane,2,9,3,5
lane,2,10,0,0
lane,2,10,1,0
lane,2,10,2,5
lane,2,10,3,60
lane,2,11,0,0
lane,2,11,1,0
lane,2,11,2,50
lane,2,11,3,325
lane,2,12,0,0
lane,2,12,1,0
lane,2,12,2,0
lane,2,12,3,0
lane,2,13,0,0
lane,2,13,1,0
lane,2,13,2,5
lane,2,13,3,15
lane,2,14,0,0
lane,2,14,1,0
lane,2,14,2,40
lane,2,14,3,75
lane,2,15,0,0
lane,2,15,1,30
lane,2,15,2,275
lane,2,15,3,335
tile_total,2,-1,-1,1430
lane,3,0,0,0
lane,3,0,1,0
lane,3,0,2,0
lane,3,0,3,0
lane,3,1,0,0
lane,3,1,1,0
lane,3,1,2,0
lane,3,1,3,0
lane,3,2,0,0
lane,3,2,1,0
lane,3,2,2,0
lane,3,2,3,0
lane,3,3,0,0
lane,3,3,1,0
lane,3,3,2,0
lane,3,3,3,35
lane,3,4,0,0
lane,3,4,1,0
lane,3,4,2,0
lane,3,4,3,0
lane,3,5,0,0
lane,3,5,1,0
lane,3,5,2,0
lane,3,5,3,5
lane,3,6,0,0
lane,3,6,1,0
lane,3,6,2,0
lane,3,6,3,15
lane,3,7,0,0
lane,3,7,1,0
lane,3,7,2,0
lane,3,7,3,125
lane,3,8,0,0
lane,3,8,1,0
lane,3,8,2,0
lane,3,8,3,0
lane,3,9,0,0
lane,3,9,1,0
lane,3,9,2,0
lane,3,9,3,5
lane,3,10,0,0
lane,3,10,1,0
lane,3,10,2,0
lane,3,10,3,35
lane,3,11,0,0
lane,3,11,1,0
lane,3,11,2,105
lane,3,11,3,270
lane,3,12,0,0
lane,3,12,1,0
lane,3,12,2,0
lane,3,12,3,0
lane,3,13,0,0
lane,3,13,1,0
lane,3,13,2,5
lane,3,13,3,5
lane,3,14,0,0
lane,3,14,1,0
lane,3,14,2,35
lane,3,14,3,50
lane,3,15,0,0
lane,3,15,1,35
lane,3,15,2,260
lane,3,15,3,485
tile_total,3,-1,-1,1470
global_total,-1,-1,-1,5730
