record,tile,plane,local_lane,accepted_flits
lane,3,14,0,0
lane,3,14,1,55
lane,3,14,2,405
lane,3,14,3,679
lane,3,15,0,0
lane,3,15,1,185
lane,3,15,2,514
lane,3,15,3,747
tile_total,3,-1,-1,6950
global_total,-1,-1,-1,27558
