source_file,row_count,sha256,final_path,final_sha256,classification,acceptance_rule,upstream_source_path
256/03_f16_cross_tier/raw/events/MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0.events.csv,64000,a3d6db2b4cd9ccbb8bd3850896f86036b99de490c4bb0b839a0928889b01b7f3,data/256/03_f16_cross_tier/raw/events/MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0.events.csv,a3d6db2b4cd9ccbb8bd3850896f86036b99de490c4bb0b839a0928889b01b7f3,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\events\MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0.events.csv
256/03_f16_cross_tier/raw/flit_latency/MC-F16-2TILE_compact256_repair_20260918_123846_m20_native_PROP_temp256_m16_top0.flit_latency.csv,32000,d560fe292f37508ef0662f1a0cadcce2f696f51273a4a8fd6ce4c06703ba5727,data/256/03_f16_cross_tier/raw/flit_latency/MC-F16-2TILE_compact256_repair_20260918_123846_m20_native_PROP_temp256_m16_top0.flit_latency.csv,d560fe292f37508ef0662f1a0cadcce2f696f51273a4a8fd6ce4c06703ba5727,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\flit_latency\MC-F16-2TILE_compact256_repair_20260918_123846_m20_native_PROP_temp256_m16_top0.flit_latency.csv
256/03_f16_cross_tier/raw/flit_latency/MC-F16-2TILE_compact256_repair_20260918_123846_m20_repeated_PROP_temp256_m16_top0.flit_latency.csv,32000,6a9eecb44e5de5e35e2d005287eec5ed64019c098451edc8efd08ec9f61e13a2,data/256/03_f16_cross_tier/raw/flit_latency/MC-F16-2TILE_compact256_repair_20260918_123846_m20_repeated_PROP_temp256_m16_top0.flit_latency.csv,6a9eecb44e5de5e35e2d005287eec5ed64019c098451edc8efd08ec9f61e13a2,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\flit_latency\MC-F16-2TILE_compact256_repair_20260918_123846_m20_repeated_PROP_temp256_m16_top0.flit_latency.csv
256/03_f16_cross_tier/raw/flit_latency/MC-F16-2TILE_compact256_repair_20260918_123846_m5_native_PROP_temp256_m16_top0.flit_latency.csv,32000,9734cdc601b7134dc058d6cde029677560f18919e393d4af58ca4db78ee98d31,data/256/03_f16_cross_tier/raw/flit_latency/MC-F16-2TILE_compact256_repair_20260918_123846_m5_native_PROP_temp256_m16_top0.flit_latency.csv,9734cdc601b7134dc058d6cde029677560f18919e393d4af58ca4db78ee98d31,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\flit_latency\MC-F16-2TILE_compact256_repair_20260918_123846_m5_native_PROP_temp256_m16_top0.flit_latency.csv
256/03_f16_cross_tier/raw/flit_latency/MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0.flit_latency.csv,32000,dfe8a5406106961692faf3d148b90e0549c59ac96ac1f6e79e3a78aa6cfc3925,data/256/03_f16_cross_tier/raw/flit_latency/MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0.flit_latency.csv,dfe8a5406106961692faf3d148b90e0549c59ac96ac1f6e79e3a78aa6cfc3925,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\flit_latency\MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0.flit_latency.csv
256/03_f16_cross_tier/raw/latency/MC-F16-2TILE_compact256_repair_20260918_123846_m20_native_PROP_temp256_m16_top0.latency.csv,6400,216d48d78bbeb500534e924b4f63404aa72affcb171188907fce1d6913d4c8c7,data/256/03_f16_cross_tier/raw/latency/MC-F16-2TILE_compact256_repair_20260918_123846_m20_native_PROP_temp256_m16_top0.latency.csv,216d48d78bbeb500534e924b4f63404aa72affcb171188907fce1d6913d4c8c7,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\latency\MC-F16-2TILE_compact256_repair_20260918_123846_m20_native_PROP_temp256_m16_top0.latency.csv
256/03_f16_cross_tier/raw/latency/MC-F16-2TILE_compact256_repair_20260918_123846_m20_repeated_PROP_temp256_m16_top0.latency.csv,6400,7009b6611b8af72cd08e6283e6affce7d0fe6b0780b7991585d146b25b7d1bb9,data/256/03_f16_cross_tier/raw/latency/MC-F16-2TILE_compact256_repair_20260918_123846_m20_repeated_PROP_temp256_m16_top0.latency.csv,7009b6611b8af72cd08e6283e6affce7d0fe6b0780b7991585d146b25b7d1bb9,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\latency\MC-F16-2TILE_compact256_repair_20260918_123846_m20_repeated_PROP_temp256_m16_top0.latency.csv
256/03_f16_cross_tier/raw/latency/MC-F16-2TILE_compact256_repair_20260918_123846_m5_native_PROP_temp256_m16_top0.latency.csv,6400,5989595ab90cc33b64aedcb0f4a822f2c138e253d6c85726c88e11cf4d1a2919,data/256/03_f16_cross_tier/raw/latency/MC-F16-2TILE_compact256_repair_20260918_123846_m5_native_PROP_temp256_m16_top0.latency.csv,5989595ab90cc33b64aedcb0f4a822f2c138e253d6c85726c88e11cf4d1a2919,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\latency\MC-F16-2TILE_compact256_repair_20260918_123846_m5_native_PROP_temp256_m16_top0.latency.csv
256/03_f16_cross_tier/raw/latency/MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0.latency.csv,6400,f5d473fc270abea0022f5a5285ef23d6f17a3887f1a86baced7db5065505d4d8,data/256/03_f16_cross_tier/raw/latency/MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0.latency.csv,f5d473fc270abea0022f5a5285ef23d6f17a3887f1a86baced7db5065505d4d8,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\latency\MC-F16-2TILE_compact256_repair_20260918_123846_m5_repeated_PROP_temp256_m16_top0.latency.csv
64/01_ur/pre_saturation_latency_accepted.csv,44,23c643433b4bb8c89c7e257b950dbf419d08415bb8aad0aa808f015d65bda1af,,,paper_latency_eligible,accepted cohort + near_lossless + paper_latency_eligible,DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
