design,design_label,netlist_run_id,gls_run_id,load_setpoint_mflit_per_port_s,injected_flits,delivered_flits,missing,unexpected,timeout,offered_mflit_per_port_s,delivered_mflit_per_port_s,backlog,flit_latency_mean_ns,flit_latency_p50_ns,flit_latency_p95_ns,flit_latency_p99_ns,pass_fail,case
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,420,55000,55000,0,0,0,302.224371,230.699952,11432,530.27003,404.3,1313.4,1550.9,PASS,TOPO-UR_n64_s202701_m420_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,440,55000,55000,0,0,0,346.298759,230.33023,16281,487.51935,403.4,1189.6,1434.1,PASS,TOPO-UR_n64_s202701_m440_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,460,55000,55000,0,0,0,335.012864,229.993032,15256,535.080498,458.5,1269.3,1452.2,PASS,TOPO-UR_n64_s202701_m460_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,480,55000,55000,0,0,0,350.650808,230.503815,16671,525.803062,453.3,1240.1,1456.4,PASS,TOPO-UR_n64_s202701_m480_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,500,55000,55000,0,0,0,369.910038,229.137074,18506,506.066765,442.4,1163.0,1381.2,PASS,TOPO-UR_n64_s202701_m500_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,600,55000,55000,0,0,0,422.983216,222.27768,23233,573.752567,532.7,1156.5,1335.2,PASS,TOPO-UR_n64_s202701_m600_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,700,55000,55000,0,0,0,547.477225,212.760599,30026,511.265825,493.5,964.3,1121.6,PASS,TOPO-UR_n64_s202701_m700_FM64_top0
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,800,55000,55000,0,0,0,604.215004,204.538863,32545,507.23623,503.9,909.4,1017.7,PASS,TOPO-UR_n64_s202701_m800_FM64_top0
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,5,55000,55000,0,0,0,3.672047,3.67168,4,6.207812,6.5,8.4,12.1,PASS,TOPO-UR_n64_s202701_m5_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,10,55000,55000,0,0,0,6.823978,6.823296,4,6.38155,6.5,9.5,13.3,PASS,TOPO-UR_n64_s202701_m10_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,20,55000,55000,0,0,0,14.846452,14.844967,4,6.733257,6.5,11.5,15.2,PASS,TOPO-UR_n64_s202701_m20_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,40,55000,55000,0,0,0,31.804674,31.801493,4,7.539986,6.6,14.3,19.8,PASS,TOPO-UR_n64_s202701_m40_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,60,55000,55000,0,0,0,44.740007,44.735533,4,8.361121,7.4,16.8,23.5,PASS,TOPO-UR_n64_s202701_m60_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,80,55000,55000,0,0,0,58.398116,58.392276,4,9.243171,7.5,20.2,29.9,PASS,TOPO-UR_n64_s202701_m80_PROP_temp64_top16
