design,netlist_run_id,cell_area,ratio_vs_mesh
FM64,20260913_104506_cmr_fm64_rpsdel150,469899.020724,1.000000
PROP_temp64,20260913_prop_temp64_asap_uc_m5_200,520533.044158,1.107755
