design,design_label,netlist_run_id,gls_run_id,load_setpoint_mflit_per_port_s,injected_flits,delivered_flits,missing,unexpected,timeout,measurement_offered_flits,measurement_delivered_flits,measurement_backlog_flits,offered_mflit_per_port_s,delivered_mflit_per_port_s,backlog,flit_latency_mean_ns,flit_latency_p50_ns,flit_latency_p95_ns,flit_latency_p99_ns,pass_fail,case,result_csv_sha256,run_log_sha256,near_lossless,latency_claim_eligible
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,320,55000,55000,0,0,0,,,1568,236.384266,228.578858,1568,336.830861,192.0,1056.2,1323.2,PASS,TOPO-UR_n64_s202701_m320_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,340,55000,55000,0,0,0,,,1069,230.729474,225.524217,1069,453.578436,279.3,1275.6,1641.4,PASS,TOPO-UR_n64_s202701_m340_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,360,55000,55000,0,0,0,,,4963,266.729259,239.00542,4963,430.289767,256.4,1223.9,1433.2,PASS,TOPO-UR_n64_s202701_m360_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,380,55000,55000,0,0,0,,,7413,276.646601,234.087288,7413,473.751568,322.3,1239.8,1438.7,PASS,TOPO-UR_n64_s202701_m380_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,400,55000,55000,0,0,0,,,9695,289.030707,230.866167,9695,519.747382,394.2,1355.1,1513.7,PASS,TOPO-UR_n64_s202701_m400_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,420,55000,55000,0,0,0,,,11432,302.224371,230.699952,11432,530.27003,404.3,1313.4,1550.9,PASS,TOPO-UR_n64_s202701_m420_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,440,55000,55000,0,0,0,,,16281,346.298759,230.33023,16281,487.51935,403.4,1189.6,1434.1,PASS,TOPO-UR_n64_s202701_m440_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,460,55000,55000,0,0,0,,,15256,335.012864,229.993032,15256,535.080498,458.5,1269.3,1452.2,PASS,TOPO-UR_n64_s202701_m460_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,480,55000,55000,0,0,0,,,16671,350.650808,230.503815,16671,525.803062,453.3,1240.1,1456.4,PASS,TOPO-UR_n64_s202701_m480_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,500,55000,55000,0,0,0,,,18506,369.910038,229.137074,18506,506.066765,442.4,1163.0,1381.2,PASS,TOPO-UR_n64_s202701_m500_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,600,55000,55000,0,0,0,,,23233,422.983216,222.27768,23233,573.752567,532.7,1156.5,1335.2,PASS,TOPO-UR_n64_s202701_m600_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,700,55000,55000,0,0,0,,,30026,547.477225,212.760599,30026,511.265825,493.5,964.3,1121.6,PASS,TOPO-UR_n64_s202701_m700_FM64_top0,,,False,False
FM64,FlatMesh64 DEL150,20260913_104506_cmr_fm64_rpsdel150,20260914_000444_cmr_fm64_asap_uc_m5_500,800,55000,55000,0,0,0,,,32545,604.215004,204.538863,32545,507.23623,503.9,909.4,1017.7,PASS,TOPO-UR_n64_s202701_m800_FM64_top0,,,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,5,55000,55000,0,0,0,50000,49995,4,3.672047,3.67168,4,7.442326,7.5,10.5,13.5,PASS,TOPO-UR_n64_s202701_m5_PFAT64_top8,b6b7c3dce2f2d605ff151f51b2e6cc80c2810f348795323f73ddc1b9803cc6b2,72fc24714908ba15981a92db1046c3bfe3fe3fffef626b378078e86b5e0dbf6b,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,10,55000,55000,0,0,0,50000,49995,4,6.823978,6.823296,4,7.569468,7.5,10.5,15.9,PASS,TOPO-UR_n64_s202701_m10_PFAT64_top8,dfdbc1767e10683044073cd74f66a04e2f1ad2adac2d573a2940b36c0a884428,9c46d03823058990b7089b447688a2d34f5aa3e3b0015b6c0b29fe3f6a3d2ddc,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,20,55000,55000,0,0,0,50000,49995,4,14.846452,14.844967,4,7.837626,7.6,12.5,17.7,PASS,TOPO-UR_n64_s202701_m20_PFAT64_top8,4f7e861a9af0a396079d73f9d3f00d66211d54adb35d644ea613126c76c5509f,ad170b89308f061a46c86e70f6442a288d6e58dd1442be0f9d272ee660f6b39e,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,40,55000,55000,0,0,0,50000,49995,4,31.804674,31.801493,4,8.559298,7.9,16.5,22.1,PASS,TOPO-UR_n64_s202701_m40_PFAT64_top8,2aa4e6f646b765e216a0c828d7576638049a9567d2e2987ff78e667a96465cf2,3c084905dc20294a25ebacc502c56606e85dbd2054481cd55362172531424a51,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,60,55000,55000,0,0,0,50000,49995,4,44.740007,44.735533,4,9.427199,8.1,18.6,25.7,PASS,TOPO-UR_n64_s202701_m60_PFAT64_top8,9a0b42540e6c13febe56b565bf1bca2d9b71649724cda9557af578c58b9519c7,58f05b55aba4c0e02035676c712c9b1cb413de275ae1aa49b298bdcd0449a173,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,80,55000,55000,0,0,0,50000,49995,4,58.398116,58.392276,4,10.412084,9.1,21.9,30.6,PASS,TOPO-UR_n64_s202701_m80_PFAT64_top8,5779664d3e5c0ec72c752e3f7f1731cf016c7b69dc3f439acb854db5ac8f42e9,cd335774b3cb3f5cfd634034cf7a6ad5370cf9c0708fd11e499941718aaebc79,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,100,55000,55000,0,0,0,50000,49995,4,75.731873,75.7243,4,12.03866,10.0,26.5,38.5,PASS,TOPO-UR_n64_s202701_m100_PFAT64_top8,54af35e7040650aef864c0c13932fddb7919dfa87455c7c45e51f6879dcac1b0,ae6a55c86e0d4de456f44fcf16078ed8f30fe173b9bb364f98951f91d0c4b51e,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,120,55000,55000,0,0,0,50000,49995,4,86.892448,86.883759,4,15.110701,12.1,35.9,52.2,PASS,TOPO-UR_n64_s202701_m120_PFAT64_top8,c65c1920e6fbf596f15c734bdb5004675c9e0b69377ccebaac8edcc425aec70d,fc2fc7f39c4b8c32a24222d7fe08995df10f28239720320eea2b909fc56a6eee,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,140,55000,55000,0,0,0,50000,49995,4,102.660972,102.650706,4,30.94978,21.3,93.7,151.0,PASS,TOPO-UR_n64_s202701_m140_PFAT64_top8,bbce43b262acc2c52f1cd9d2e8d8e7b14bb9497c460779874e8a584f5a2dcec2,865ec517d988b7a3eb0a2bc5e86f63d9d1b10c7bfeb14a124f49cd7f2033c5ea,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,160,55000,55000,0,0,0,50000,49995,4,127.03252,127.019817,4,292.863529,206.4,859.4,1200.5,PASS,TOPO-UR_n64_s202701_m160_PFAT64_top8,0483e1f4f1dc0fc4c6d5202a7025a95bf0b024416f7d81193d8c50dc2a754a0c,01d00f280361cc69d92b41abdb31abf93db2dc351dc027c262e22f5424057188,True,True
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,180,55000,55000,0,0,0,50000,47653,2188,144.568838,137.782777,2188,536.010659,498.3,1151.5,1351.9,PASS,TOPO-UR_n64_s202701_m180_PFAT64_top8,59000a3ee74fb98032cc65718c0b339df4f43c450bc29542cabd0df701629415,d1a20ac912f43a990dff15cf93f836e68257c8226cdbba3949868853a05bc52f,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260912_195012_cmr_pfat64_rpsdel050_1248,20260913_1310_cmr_pfat64_rpsdel050_asap_uc_m5_200,200,55000,55000,0,0,0,50000,44269,5415,153.607943,136.001401,5415,760.246829,706.1,1535.9,1856.9,PASS,TOPO-UR_n64_s202701_m200_PFAT64_top8,b54178642532d38fc9a198522b0c9039524ddee171be6e855485c301a88f0fdb,afb368b792b93f9668bd0b03e951fd8eb32e3a1bb1c829ad0a1a14a3030c30b4,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,220,55000,55000,0,0,0,50000,39721,9916,168.518119,133.874164,9916,862.93854,828.2,1681.8,1976.1,PASS,TOPO-UR_n64_s202701_m220_PFAT64_top8,e07e0f7dd7cafde73a0ce28632cc97123d2ed3862623c1576b8f96dfbd084c30,9b0cd19740ec3d89ee7ee6820383e3317d8a132c598569084bc189e10e37da0c,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,240,55000,55000,0,0,0,50000,37483,12153,177.315025,132.925982,12153,971.02965,956.4,1756.3,1967.5,PASS,TOPO-UR_n64_s202701_m240_PFAT64_top8,6beff524f95ed762730d3ea4c6f6f7d7da1e65fe4107bfc6f877a2ad2663ffba,37513380f90b9f3fca222dd17bab908b2855d7436161d2a7961313d83e50f843,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,260,55000,55000,0,0,0,50000,32445,17178,204.141625,132.467501,17178,958.754332,942.2,1704.5,1902.8,PASS,TOPO-UR_n64_s202701_m260_PFAT64_top8,ade1ad6bb2a531ce673fa837a4af4a1633630f19ff0888ff6764197d3fdae999,8beaf2517d0c2ff1513daf623fb3005b5235349be16e793e4776602b80d3f5ed,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,280,55000,55000,0,0,0,50000,33154,16457,199.247641,132.117126,16457,1109.947946,1129.8,1910.1,1999.9,PASS,TOPO-UR_n64_s202701_m280_PFAT64_top8,0c720d3fbe6c3dc619d85e6b9753ebc5a0921ec36cca17cef5839b6e2be7aa16,9beb09242528b5a7b9adb9eb1fa1ae3c5a9206571125c7b53a8e094d37f063b1,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,300,55000,55000,0,0,0,50000,28484,21153,226.383657,128.966242,21153,1017.740138,1004.6,1781.0,1981.6,PASS,TOPO-UR_n64_s202701_m300_PFAT64_top8,2e3ac6b956e53d82006c1a99514036a34732c45073ab2136df8da3f658b8f627,bc7687a8a726246bdbe4837fc24a876184c72140162e0fc9f789d2beb99332ab,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,320,55000,55000,0,0,0,50000,26524,23116,236.384266,125.397126,23116,1053.763968,1050.0,1778.8,1997.6,PASS,TOPO-UR_n64_s202701_m320_PFAT64_top8,38bf58ca6b43445a2ab61e987628a66ed65b7a0c59d59981a27606e31ef3d687,3dc4c5c2d1935e5c1aca6b6f8f5cfdffc11ce38c47147beae8363c90ec34c7b6,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,340,55000,55000,0,0,0,50000,27763,21866,230.729474,128.114848,21866,1122.240218,1116.2,1926.8,1999.9,PASS,TOPO-UR_n64_s202701_m340_PFAT64_top8,f3a8c97cfd715d94864c4dd523da6dcdf4b195c35873970f0769d3244aecfc84,2d5489491eb449dc00b589a43b4f92e85638336e0754cb0d4a4303fc7192844e,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,360,55000,55000,0,0,0,50000,23422,26220,266.729259,124.946654,26220,1044.706475,1043.5,1738.8,1881.1,PASS,TOPO-UR_n64_s202701_m360_PFAT64_top8,fc5df22cf2c27622e87ebac5e2bd86df4ad35b1fd57fec5d4f0beaf86f0f82c6,ad6b8395f99d4f74be3029577011be2058b83576d7ee9dd7417be804fa4e383c,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,380,55000,55000,0,0,0,50000,22073,27562,276.646601,122.128408,27562,1054.206109,1055.6,1727.1,1842.0,PASS,TOPO-UR_n64_s202701_m380_PFAT64_top8,d2655f738ea87af22dea5c04c6a5c7b14d672176790690e8f3b99d0b173d494a,aa4262bf678aae0600527265126c526261fff42844f993999098f372646be25a,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,400,55000,55000,0,0,0,50000,21246,28378,289.030707,122.814928,28378,1039.670229,1045.4,1699.6,1820.3,PASS,TOPO-UR_n64_s202701_m400_PFAT64_top8,0ff9c612cb058cd647a7f716a66d57b702c4f9fe0dcccda1c82de93ddcc1f4e6,5fc3cf98f244338b872a69f3d3cb1af2a118ff1d1d26156b4bafb3e9d6b01379,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,420,55000,55000,0,0,0,50000,19976,29642,302.224371,120.744681,29642,1024.931321,1016.1,1682.7,1799.8,PASS,TOPO-UR_n64_s202701_m420_PFAT64_top8,69b2f3567dd569b46997ed8b6d3a46794e71fa8bb30ade54b977428910433b71,058ecd4d6d6f876e011c2cc127e723587d59608459e34d07e25cf3509bad8360,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,440,55000,55000,0,0,0,50000,17070,32556,346.298759,118.226396,32556,943.895751,944.8,1511.6,1618.5,PASS,TOPO-UR_n64_s202701_m440_PFAT64_top8,8a8f6ef7e035eb992860952015f18a8da64a0bfb7e65011f4e8f25b42c20141a,6659b96dbfd4ddbf3bc6117bace2b87ebc01aefcd360722786fd150704b03d39,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,460,55000,55000,0,0,0,50000,17528,32103,335.012864,117.44211,32103,994.982098,997.4,1588.9,1677.7,PASS,TOPO-UR_n64_s202701_m460_PFAT64_top8,f9f00e86733ae42d2e80abd0f196da188640ef2fe7c35c1a307d029738cb1a60,502a116ddca0ce9b442f731791062b69eac6219538f5b0df42a36c156b984379,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,480,55000,55000,0,0,0,50000,16457,33190,350.650808,115.413207,33190,974.200768,981.2,1535.9,1656.0,PASS,TOPO-UR_n64_s202701_m480_PFAT64_top8,9c26446ccc79718d8818df056b87d8daadd8d36928c303e97039df5636098b6f,13e746b19c9d3d4c1701407ae705d34646a96df611e7e803716ba3033542676b,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,500,55000,55000,0,0,0,50000,15084,34559,369.910038,111.59446,34559,933.081018,937.2,1461.9,1573.2,PASS,TOPO-UR_n64_s202701_m500_PFAT64_top8,49a52de25bae7de0a0383a6a8b70cff9545b16863723e9efff9206185104e712,a86ff363456349369c560f9360039ad38ed19ddbbe387b0c355f93de50448830,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,600,55000,55000,0,0,0,50000,12912,36710,422.983216,109.231186,36710,900.574516,906.3,1380.4,1475.8,PASS,TOPO-UR_n64_s202701_m600_PFAT64_top8,3a562fb0eceb508df46434be6b62a4741ebf2ec51b4e3c9f42fa5775999262d2,079c5d0d74e765ffbdf5b33ca2eb2e709f3a2e6f8988a2a719c61d90c0a6a143,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,700,55000,55000,0,0,0,50000,8875,40747,547.477225,97.177207,40747,783.705479,786.1,1138.4,1202.3,PASS,TOPO-UR_n64_s202701_m700_PFAT64_top8,b0fbffc684b1884d84453ae14f6ca155d01d8c4310f90505faca4347709df9f4,0a63cfe57ad8b7f837acbaae9486ea9c024f2d758f687ed0290dcbbc69afb2ba,False,False
PFAT64,PFAT64 1-2-4-8 DEL050,20260915_080229_cmr_pfat64_rpsdel050_1248,20260915_091759_cmr_pfat64_asap_uc_m220_800_1248,800,55000,55000,0,0,0,50000,7486,42139,604.215004,90.46307,42139,735.605651,739.0,1049.7,1102.0,PASS,TOPO-UR_n64_s202701_m800_PFAT64_top8,797a03f2befdcbdefed7c8214f3ff020c4c0285b840469294f3c79350eaf86d6,598572093005e0331a8e70b5e09086213b7480069d7210889e9045145454eae1,False,False
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,5,55000,55000,0,0,0,,,4,3.672047,3.67168,4,6.207812,6.5,8.4,12.1,PASS,TOPO-UR_n64_s202701_m5_PROP_temp64_top16,,,True,True
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,10,55000,55000,0,0,0,,,4,6.823978,6.823296,4,6.38155,6.5,9.5,13.3,PASS,TOPO-UR_n64_s202701_m10_PROP_temp64_top16,,,True,True
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,20,55000,55000,0,0,0,,,4,14.846452,14.844967,4,6.733257,6.5,11.5,15.2,PASS,TOPO-UR_n64_s202701_m20_PROP_temp64_top16,,,True,True
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,40,55000,55000,0,0,0,,,4,31.804674,31.801493,4,7.539986,6.6,14.3,19.8,PASS,TOPO-UR_n64_s202701_m40_PROP_temp64_top16,,,True,True
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,60,55000,55000,0,0,0,,,4,44.740007,44.735533,4,8.361121,7.4,16.8,23.5,PASS,TOPO-UR_n64_s202701_m60_PROP_temp64_top16,,,True,True
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,80,55000,55000,0,0,0,,,4,58.398116,58.392276,4,9.243171,7.5,20.2,29.9,PASS,TOPO-UR_n64_s202701_m80_PROP_temp64_top16,,,True,True
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,100,55000,55000,0,0,0,,,4,75.731873,75.7243,4,10.325957,8.3,23.9,35.3,PASS,TOPO-UR_n64_s202701_m100_PROP_temp64_top16,,,True,True
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,120,55000,55000,0,0,0,,,4,86.892448,86.883759,4,11.343857,8.5,26.9,41.0,PASS,TOPO-UR_n64_s202701_m120_PROP_temp64_top16,,,True,True
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,140,55000,55000,0,0,0,,,4,102.660972,102.650706,4,12.03358,9.2,29.0,44.4,PASS,TOPO-UR_n64_s202701_m140_PROP_temp64_top16,,,True,True
