port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
31,3070,3070,4bfe942,288051,288385,316394,316494,28.009000,28.343000
31,659,659,4293940,325051,325377,352421,352521,27.044000,27.370000
31,1586,1586,4632943,391402,391736,429877,429977,38.141000,38.475000
31,458,458,41ca943,400051,400385,435317,435417,34.932000,35.266000
31,2975,2975,4b9f941,408051,408377,440775,440875,32.398000,32.724000
31,2987,2987,4bab941,412395,412729,457282,457382,44.553000,44.887000
31,3468,3468,4d8c943,440051,440377,466416,466516,26.039000,26.365000
31,1434,1434,459a940,417051,417385,472838,472938,55.453000,55.787000
31,4098,4098,5002941,450051,450385,476982,477082,26.597000,26.931000
31,3286,3286,4cd6942,472051,472377,495691,495791,23.314000,23.640000
31,1880,1880,4758941,495051,495377,500967,501067,5.590000,5.916000
31,1283,1283,4503940,499051,499385,539776,539876,40.391000,40.725000
31,3830,3830,4ef6942,618425,618759,645916,646016,27.157000,27.491000
31,3634,3634,4e32943,634409,634743,662884,662984,28.141000,28.475000
31,3636,3636,4e34942,642051,642377,673825,673925,31.448000,31.774000
31,4719,4719,526f942,697196,697530,717726,717826,20.196000,20.530000
31,3886,3886,4f2e942,760109,760435,765162,765262,4.727000,5.053000
31,4323,4323,50e3942,788051,788385,821527,821627,33.142000,33.476000
31,3355,3355,4d1b943,806051,806377,827064,827164,20.687000,21.013000
31,6364,6364,58dc940,1029051,1029377,1055585,1055685,26.208000,26.534000
31,6041,6041,5799940,1065439,1065765,1081750,1081850,15.985000,16.311000
31,9103,9103,638f940,1056051,1056385,1105045,1105145,48.660000,48.994000
31,5248,5248,5480940,1164051,1164385,1184794,1184894,20.409000,20.743000
31,6891,6891,5aeb942,1171051,1171385,1190298,1190398,18.913000,19.247000
31,5923,5923,5723943,1185051,1185377,1203252,1203352,17.875000,18.201000
31,7328,7328,5ca0942,1246051,1246377,1253711,1253811,7.334000,7.660000
31,5344,5344,54e0940,1269051,1269385,1280244,1280344,10.859000,11.193000
31,9450,9450,64ea940,1297051,1297377,1311871,1311971,14.494000,14.820000
31,8590,8590,618e941,1313051,1313377,1350055,1350155,36.678000,37.004000
31,7721,7721,5e29940,1356051,1356385,1393998,1394098,37.613000,37.947000
31,9067,9067,636b943,1465051,1465385,1495716,1495816,30.331000,30.665000
31,10265,10265,6819940,1492051,1492377,1522374,1522474,29.997000,30.323000
31,10521,10521,6919942,1529051,1529385,1541303,1541403,11.918000,12.252000
31,9647,9647,65af941,1513051,1513385,1546823,1546923,33.438000,33.772000
31,8742,8742,6226943,1585296,1585630,1599154,1599254,13.524000,13.858000
31,10944,10944,6ac0940,1769051,1769385,1781107,1781207,11.722000,12.056000
31,9474,9474,6502942,1898051,1898385,1914498,1914598,16.113000,16.447000
31,10332,10332,685c942,2005051,2005385,2020582,2020682,15.197000,15.531000
31,10728,10728,69e8942,2082051,2082377,2099242,2099342,16.865000,17.191000
31,10799,10799,6a2f943,2190051,2190377,2207352,2207452,16.975000,17.301000
32,2098,2098,4832943,122416,122750,158857,158957,36.107000,36.441000
32,736,736,42e0942,161051,161377,172312,172412,10.935000,11.261000
32,1060,1060,4424940,165051,165385,177061,177161,11.676000,12.010000
32,426,426,41aa943,176051,176385,188084,188184,11.699000,12.033000
32,2368,2368,4940942,181051,181377,193564,193664,12.187000,12.513000
32,2766,2766,4ace942,230051,230377,261955,262054,31.578000,31.904000
32,1610,1610,464a942,243051,243385,277628,277728,34.243000,34.577000
32,2310,2310,4906943,186051,186385,293774,293874,107.389000,107.723000
32,1974,1974,47b6943,311051,311385,355211,355311,43.826000,44.160000
32,3872,3872,4f20941,372051,372377,388093,388193,15.716000,16.042000
32,1460,1460,45b4940,387051,387385,401930,402030,14.545000,14.879000
32,1467,1467,45bb940,426051,426377,443206,443306,16.829000,17.155000
32,6191,6191,582f942,574051,574377,592377,592477,18.000000,18.326000
32,3007,3007,4bbf943,592051,592385,618885,618985,26.500000,26.834000
32,3726,3726,4e8e941,589005,589331,651726,651826,62.395000,62.721000
32,4015,4015,4faf940,640051,640377,690253,690353,49.876000,50.202000
32,6499,6499,5963940,684446,684780,695755,695855,10.975000,11.309000
32,7532,7532,5d6c940,707051,707385,717765,717865,10.380000,10.714000
32,6294,6294,5896941,805051,805385,828297,828397,22.912000,23.246000
32,7421,7421,5cfd942,855051,855377,872072,872172,16.695000,17.021000
32,5811,5811,56b3942,931051,931385,940062,940162,8.677000,9.011000
32,5569,5569,55c1942,934992,935318,944246,944346,8.928000,9.254000
32,3943,3943,4f67941,918051,918385,948389,948489,30.004000,30.338000
32,3363,3363,4d23943,954051,954385,964045,964145,9.660000,9.994000
32,6671,6671,5a0f941,1025051,1025377,1058353,1058453,32.976000,33.302000
32,8182,8182,5ff6943,1193051,1193377,1201634,1201734,8.257000,8.583000
32,7879,7879,5ec7941,1198051,1198377,1223960,1224060,25.583000,25.909000
32,6822,6822,5aa6941,1210051,1210385,1228118,1228218,17.733000,18.067000
32,8204,8204,600c941,1214051,1214377,1232271,1232371,17.894000,18.220000
32,7319,7319,5c97943,1231051,1231377,1245882,1245982,14.505000,14.831000
32,7995,7995,5f3b941,1236051,1236377,1268397,1268497,32.020000,32.346000
32,10954,10954,6aca941,1350051,1350377,1360703,1360803,10.326000,10.652000
32,4892,4892,531c943,1377051,1377385,1397327,1397427,19.942000,20.276000
32,7106,7106,5bc2941,1409952,1410286,1436899,1436999,26.613000,26.947000
32,10778,10778,6a1a940,1432051,1432377,1442336,1442436,9.959000,10.285000
32,9920,9920,66c0940,1426051,1426385,1458245,1458345,31.860000,32.194000
32,7555,7555,5d83941,1497895,1498229,1534427,1534527,36.198000,36.532000
32,8438,8438,60f6943,1589051,1589377,1603095,1603195,13.718000,14.044000
32,10050,10050,6742940,1605051,1605377,1616352,1616452,10.975000,11.301000
32,10965,10965,6ad5943,1621051,1621385,1649777,1649877,28.392000,28.726000
32,10622,10622,697e943,1626460,1626794,1655220,1655320,28.426000,28.760000
32,5087,5087,53df941,1646051,1646377,1661651,1661751,15.274000,15.600000
32,10286,10286,682e940,1676051,1676385,1684669,1684769,8.284000,8.618000
32,10484,10484,68f4942,1725051,1725377,1745631,1745731,20.254000,20.580000
32,9676,9676,65cc942,1836051,1836377,1845485,1845585,9.108000,9.434000
32,10255,10255,680f940,2053051,2053377,2066080,2066180,12.703000,13.029000
32,9543,9543,6547942,2072051,2072385,2091118,2091218,18.733000,19.067000
32,6838,6838,5ab6941,2085416,2085742,2095285,2095386,9.543000,9.869000
32,9862,9862,6686940,2176051,2176385,2190876,2190976,14.491000,14.825000
32,10383,10383,688f942,2247051,2247377,2266214,2266314,18.837000,19.163000
32,9483,9483,650b940,2323051,2323385,2343919,2344019,20.534000,20.868000
