port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
49,3144,3144,4c48942,370050,370376,386283,386383,15.907000,16.233000
49,2985,2985,4ba9942,434051,434377,455199,455299,20.822000,21.148000
49,3348,3348,4d14942,443051,443377,471329,471429,27.952000,28.278000
49,4490,4490,518a941,471051,471385,534042,534142,62.657000,62.991000
49,5069,5069,53cd940,456051,456377,539733,539833,83.356000,83.682000
49,2206,2206,489e940,425051,425385,551140,551240,125.755000,126.089000
49,3914,3914,4f4a943,583484,583810,606192,606292,22.382000,22.708000
49,3766,3766,4eb6943,586000,586326,620145,620245,33.819000,34.145000
49,5790,5790,569e942,630051,630385,651114,651214,20.729000,21.063000
49,5253,5253,5485942,623051,623385,655950,656050,32.565000,32.899000
49,2652,2652,4a5c940,575342,575668,661687,661787,86.019000,86.345000
49,3826,3826,4ef2941,652051,652377,673210,673310,20.833000,21.159000
49,5153,5153,5421941,698341,698667,714094,714194,15.427000,15.753000
49,3956,3956,4f74943,609051,609377,721574,721674,112.197000,112.523000
49,2955,2955,4b8b941,682681,683015,757180,757280,74.165000,74.499000
49,2990,2990,4bae941,694324,694658,792357,792457,97.699000,98.033000
49,4778,4778,52aa941,810051,810385,822407,822507,12.022000,12.356000
49,6383,6383,58ef941,966033,966359,974701,974801,8.342000,8.668000
49,6132,6132,57f4940,991051,991377,1016182,1016282,24.805000,25.131000
49,5998,5998,576e942,991051,991377,1034218,1034318,42.841000,43.167000
49,4003,4003,4fa3940,1091051,1091385,1103247,1103347,11.862000,12.196000
49,6337,6337,58c1943,1150051,1150377,1159099,1159199,8.722000,9.048000
49,5677,5677,562d942,1103051,1103377,1177852,1177952,74.475000,74.801000
49,6235,6235,585b942,1190000,1190326,1199345,1199445,9.019000,9.345000
49,7975,7975,5f27941,1197051,1197385,1235020,1235120,37.635000,37.969000
49,6017,6017,5781941,1065051,1065377,1293175,1293275,227.798000,228.124000
49,4283,4283,50bb941,1288051,1288385,1314887,1314987,26.502000,26.836000
49,6176,6176,5820940,1340051,1340377,1361554,1361654,21.177000,21.503000
49,8066,8066,5f82941,1303498,1303832,1373337,1373437,69.505000,69.839000
49,7905,7905,5ee1940,1350051,1350377,1438164,1438264,87.787000,88.113000
49,8465,8465,6111940,1401051,1401385,1443954,1444054,42.569000,42.903000
49,9175,9175,63d7941,1454051,1454385,1472083,1472183,17.698000,18.032000
49,9807,9807,664f943,1568051,1568385,1607137,1607237,38.752000,39.086000
49,9153,9153,63c1940,1564051,1564377,1650343,1650443,85.966000,86.292000
49,10651,10651,699b942,1659051,1659377,1671969,1672069,12.592000,12.918000
49,8055,8055,5f77940,1671051,1671377,1683046,1683146,11.669000,11.995000
50,600,600,4258940,110963,111297,128592,128692,17.295000,17.629000
