port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
27,341,341,4155961,4792051,4792385,4800813,4800913,8.428000,8.762000
36,176,176,40b0963,339051,339385,347949,348049,8.564000,8.898000
36,146,146,4092961,386044,386370,401219,401319,14.849000,15.175000
36,134,134,4086961,444051,444385,452810,452910,8.425000,8.759000
36,53,53,4035961,1012051,1012385,1020806,1020906,8.421000,8.755000
36,269,269,410d962,1106051,1106377,1118321,1118421,11.944000,12.270000
36,290,290,4122960,1177051,1177377,1185897,1185997,8.520000,8.846000
36,257,257,4101962,1679051,1679377,1687956,1688056,8.579000,8.905000
36,191,191,40bf963,1702051,1702377,1714374,1714474,11.997000,12.323000
36,308,308,4134960,1949051,1949377,1957847,1957947,8.470000,8.796000
36,341,341,4155961,4792051,4792385,4804351,4804451,11.966000,12.300000
37,176,176,40b0963,339051,339385,347949,348049,8.564000,8.898000
37,146,146,4092961,386044,386370,401219,401319,14.849000,15.175000
37,134,134,4086961,444051,444385,452810,452910,8.425000,8.759000
37,53,53,4035961,1012051,1012385,1020806,1020906,8.421000,8.755000
37,269,269,410d962,1106051,1106377,1118321,1118421,11.944000,12.270000
37,290,290,4122960,1177051,1177377,1185897,1185997,8.520000,8.846000
37,257,257,4101962,1679051,1679377,1687956,1688056,8.579000,8.905000
37,191,191,40bf963,1702051,1702377,1714374,1714474,11.997000,12.323000
37,308,308,4134960,1949051,1949377,1957847,1957947,8.470000,8.796000
37,341,341,4155961,4792051,4792385,4804351,4804451,11.966000,12.300000
38,205,205,40cd960,130051,130384,142371,142471,11.987000,12.320000
38,70,70,4046961,294051,294385,302943,303043,8.558000,8.892000
38,176,176,40b0963,339051,339385,347945,348045,8.560000,8.894000
38,292,292,4124960,383051,383385,395350,395450,11.965000,12.299000
38,146,146,4092961,386044,386370,401205,401305,14.835000,15.161000
38,134,134,4086961,444051,444385,452792,452892,8.407000,8.741000
38,88,88,4058963,601051,601385,609824,609924,8.439000,8.773000
38,53,53,4035961,1012051,1012385,1020821,1020921,8.436000,8.770000
38,106,106,406a962,1010051,1010385,1026700,1026800,16.315000,16.649000
38,241,241,40f1963,1063051,1063377,1071915,1072015,8.538000,8.864000
38,269,269,410d962,1106051,1106377,1118311,1118411,11.934000,12.260000
38,232,232,40e8962,1113051,1113377,1124110,1124210,10.733000,11.059000
38,290,290,4122960,1177051,1177377,1189607,1189707,12.230000,12.556000
38,100,100,4064960,1398051,1398385,1406822,1406922,8.437000,8.771000
38,40,40,4028962,1456051,1456385,1464944,1465044,8.559000,8.893000
38,385,385,4181963,1664051,1664385,1672930,1673030,8.545000,8.879000
38,257,257,4101962,1679051,1679377,1687934,1688034,8.557000,8.883000
38,191,191,40bf963,1702051,1702377,1714400,1714500,12.023000,12.349000
38,308,308,4134960,1949051,1949377,1957824,1957924,8.447000,8.773000
38,10,10,400a960,1993051,1993385,1999680,1999780,6.295000,6.629000
38,37,37,4025962,2045051,2045385,2057343,2057443,11.958000,12.292000
38,307,307,4133962,2477051,2477377,2489368,2489468,11.991000,12.317000
38,250,250,40fa962,2728051,2728385,2736864,2736964,8.479000,8.813000
38,46,46,402e961,3195051,3195385,3207346,3207446,11.961000,12.295000
38,280,280,4118962,3318051,3318385,3330396,3330496,12.011000,12.345000
38,148,148,4094960,3450051,3450377,3462364,3462464,11.987000,12.313000
