record,tile,plane,local_lane,accepted_flits
lane,3,14,0,0
lane,3,14,1,95
lane,3,14,2,415
lane,3,14,3,655
lane,3,15,0,30
lane,3,15,1,280
lane,3,15,2,480
lane,3,15,3,775
tile_total,3,-1,-1,10295
global_total,-1,-1,-1,41675
