nodes,topology,mode,traffic,offered_mflit_s_per_port,metric,value,value_unit,eligibility,source_file,source_design,source_case,source_run_id
64,Mesh,BC,BC,146.274106,mean_flit_latency,73.41257832000001,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,TOPO-BC_n64_s202701_m180_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,3.636004,mean_flit_latency,7.398556800000001,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m5_FM64_top0_retry_csv_gate,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,6.568548,mean_flit_latency,7.4751460199999995,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m10_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,14.245988,mean_flit_latency,7.6117362,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m20_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,31.702715,mean_flit_latency,7.8934438600000005,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m40_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,45.934266,mean_flit_latency,8.32238736,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m60_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,59.701207,mean_flit_latency,8.70641288,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m80_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,75.768597,mean_flit_latency,9.24285924,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m100_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,84.11391,mean_flit_latency,9.90791718,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m120_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,121.557492,mean_flit_latency,11.6666514,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m160_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,141.91644,mean_flit_latency,13.647917860000002,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m180_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,151.493116,mean_flit_latency,15.7560668,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m200_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,165.484008,mean_flit_latency,20.37680938,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m220_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,172.651934,mean_flit_latency,35.07834968,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m240_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,Hotspot10,Hotspot10,195.01997,mean_flit_latency,95.42107334,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,HOTSPOT10_n64_s202701_m260_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
