nodes,experiment,paper_label,mode,x_name,x_value,metric,value,unit,eligibility,source_file,source_design,source_case,source_run_id
1,node_ppa,PFAT,,geometry,async_pfat_2x4,head_hop_delay,1.257,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_2x4,,20260912_205700_cmr_pfat_l2_c2p4_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_4x8,head_hop_delay,1.584,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_4x8,,20260912_205700_cmr_pfat_l3_c4p8_rpsdel050
1,node_ppa,PROP,,geometry,async_prop_2x2,head_hop_delay,1.194,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_prop_2x2,,20260912_205700_cmr_prop_2x2_hop_rpsdel050
1,node_ppa,Thin,,geometry,async_thin_1x1,head_hop_delay,0.71,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_thin_1x1,,20260912_205700_cmr_thin_l1_hop_rpsdel050
1,node_ppa,TopMesh,,geometry,async_topmesh_2x2,head_hop_delay,1.193,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_topmesh_2x2,,20260912_205700_cmr_topmesh_c2p2_rpsdel050
1,node_ppa,FAT,,geometry,async_fat_1x2,idle_power,0.0005856,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_fat_1x2,,20260912_205700_cmr_fat_l1_hop_rpsdel050
1,node_ppa,Mesh,,geometry,async_flatmesh_1x1,idle_power,0.0004674,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_flatmesh_1x1,,20260912_205700_cmr_flatmesh_c1p1_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_2x4,idle_power,0.001429,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_2x4,,20260912_205700_cmr_pfat_l2_c2p4_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_4x8,idle_power,0.003642,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_4x8,,20260912_205700_cmr_pfat_l3_c4p8_rpsdel050
1,node_ppa,PROP,,geometry,async_prop_2x2,idle_power,0.001138,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_prop_2x2,,20260912_205700_cmr_prop_2x2_hop_rpsdel050
