section,paper_label,x_value,x_unit,metric,value,physical_class,source_file,source_design,source_case,source_run_id
async_sync_throughput,Async,266.729259,Mflit/s/port,delivered_mflit_s_per_port,266.702586,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m360_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,276.646601,Mflit/s/port,delivered_mflit_s_per_port,276.591271,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m380_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,289.030707,Mflit/s/port,delivered_mflit_s_per_port,288.926656,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m400_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,302.224371,Mflit/s/port,delivered_mflit_s_per_port,302.194149,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m420_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,335.012864,Mflit/s/port,delivered_mflit_s_per_port,334.490244,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m460_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,346.298759,Mflit/s/port,delivered_mflit_s_per_port,345.474568,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m440_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,350.650808,Mflit/s/port,delivered_mflit_s_per_port,348.974697,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m480_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,369.910038,Mflit/s/port,delivered_mflit_s_per_port,362.844756,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m500_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,422.983216,Mflit/s/port,delivered_mflit_s_per_port,379.195994,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m600_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,547.477225,Mflit/s/port,delivered_mflit_s_per_port,370.532586,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m700_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Async,604.215004,Mflit/s/port,delivered_mflit_s_per_port,355.858469,post-synthesis MAXIMUM-SDF,64/01_ur/throughput_all_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m800_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
async_sync_throughput,Sync,3.672064111301732,Mflit/s/port,delivered_mflit_s_per_port,3.671696904890602,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m5_PROP_temp64_top16,
async_sync_throughput,Sync,6.824038083591737,Mflit/s/port,delivered_mflit_s_per_port,6.823355679783377,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m10_PROP_temp64_top16,
async_sync_throughput,Sync,14.846734193572908,Mflit/s/port,delivered_mflit_s_per_port,14.845249520153551,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m20_PROP_temp64_top16,
async_sync_throughput,Sync,31.8059683263445,Mflit/s/port,delivered_mflit_s_per_port,31.802787729511866,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m40_PROP_temp64_top16,
async_sync_throughput,Sync,44.74256915411488,Mflit/s/port,delivered_mflit_s_per_port,44.738094897199474,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m60_PROP_temp64_top16,
async_sync_throughput,Sync,58.402481871869625,Mflit/s/port,delivered_mflit_s_per_port,58.39664162368244,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m80_PROP_temp64_top16,
async_sync_throughput,Sync,75.73921473582162,Mflit/s/port,delivered_mflit_s_per_port,75.73164081434804,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m100_PROP_temp64_top16,
