nodes,topology,mode,traffic,offered_mflit_s_per_port,metric,value,value_unit,eligibility,source_file,source_design,source_case,source_run_id
64,Mesh,UR (Async),UR,346.298759,delivered_throughput,230.33023,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m440_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,350.650808,delivered_throughput,230.503815,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m480_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,369.910038,delivered_throughput,229.137074,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m500_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,422.983216,delivered_throughput,222.27768,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m600_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,547.477225,delivered_throughput,212.760599,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m700_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,UR (Async),UR,604.215004,delivered_throughput,204.538863,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,FM64,TOPO-UR_n64_s202701_m800_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,BC,BC,3.670098,delivered_throughput,3.669731,Mflit/s/port,correctness/full-drain throughput,64/02_benchmarks/bc_hotspot_all_accepted.csv,FM64,TOPO-BC_n64_s202701_m5_FM64_top0_retry_csv_gate,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,BC,BC,6.754712,delivered_throughput,6.754037,Mflit/s/port,correctness/full-drain throughput,64/02_benchmarks/bc_hotspot_all_accepted.csv,FM64,TOPO-BC_n64_s202701_m10_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,BC,BC,14.536506,delivered_throughput,14.535053,Mflit/s/port,correctness/full-drain throughput,64/02_benchmarks/bc_hotspot_all_accepted.csv,FM64,TOPO-BC_n64_s202701_m20_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
64,Mesh,BC,BC,29.766441,delivered_throughput,29.763464,Mflit/s/port,correctness/full-drain throughput,64/02_benchmarks/bc_hotspot_all_accepted.csv,FM64,TOPO-BC_n64_s202701_m40_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
